Relationship ID1 Type1 ID2 Type2
FRIENDS_WITH A Person B Person
FRIENDS_WITH A Person C Person
FRIENDS_WITH B Person C Person
FRIENDS_WITH A Person X Person
FRIENDS_WITH B Person X Person
FRIENDS_WITH X Person Y Person
FRIENDS_WITH C Person Q Person
FRIENDS_WITH C Person G Person
FRIENDS_WITH G Person H Person
FRIENDS_WITH H Person K Person
FRIENDS_WITH Z Person I Person
FRIENDS_WITH I Person K Person
FRIENDS_WITH B Person M Person
FRIENDS_WITH A Person J Person
FRIENDS_WITH J Person K Person
FRIENDS_WITH D Person L Person
FRIENDS_WITH L Person K Person
